,clf name & configuration,AP,MagicTelescope,abalone,anneal,ar1,arrhythmia,audiology,autos,badges2,balance-scale,baseball,breast-cancer,breast-w,bupa,car,car-evaluation,cm1,cmc,colic,contact-lenses,credit-a,credit-g,cylinder-bands,dermatology,desharnais,ecoli,electricity,eucalyptus,eye,glass,heart-c,heart-h,heart-statlog,hepatitis,hypothyroid,ionosphere,iris,kr-vs-kp,kropt,labor,letter,lymph,mfeat-factors,mfeat-fourier,mfeat-karhunen,mfeat-morphological,mfeat-pixel,mfeat-zernike,mushroom,nursery,optdigits,ozone-level-8hr,page-blocks,pasture,pendigits,postoperative-patient-data,primary-tumor,satimage,segment,sick,solar-flare,sonar,soybean,spambase,splice,teachingAssistant,tic-tac-toe,vote,vowel,waveform-5000,yeast,zoo
7c81560b1f077f25e0dd594f5bf4ad86,weka.classifiers.bayes.NaiveBayes-['-K'],0.9615,0.9967,0.6253,0.8608,0.8843,0.6504,0.7168,0.678,0.9932,0.8336,0.8269,0.7238,0.9757,0.6493,0.9022,0.9618,0.9213,0.9274,0.7745,0.75,0.8594,0.754,0.7519,0.9781,0.642,0.9732,0.7528,0.5272,0.526,0.5234,0.835,0.9558,0.8296,0.8452,0.9472,0.9202,0.9933,0.9881,0.9954,0.9298,0.7421,0.8243,0.9875,0.9825,0.9955,0.989,0.9915,0.978,0.9421,0.896,0.9219,0.7305,0.9421,0.6944,0.8854,0.6556,0.4513,0.8201,0.8485,0.9536,0.7333,0.9567,0.9444,0.9854,0.9991,0.5497,0.9958,0.9011,0.6909,0.8012,0.6098,0.9604
1d516aebeabbf2a07ca7e8ebe18d97c8,"weka.classifiers.bayes.BayesNet-['-Q', 'weka.classifiers.bayes.net.search.local.SimulatedAnnealing', '-E', 'weka.classifiers.bayes.net.estimate.SimpleEstimator']",,0.8395,0.5688,,0.9256,,,,1,0.744,,0.7308,0.9671,0.5768,0.9381,1,0.7753,0.499,0.8234,0.8333,0.8565,0.721,,,0.6543,0.8185,0.8195,,0.5852,0.6916,0.8152,0.8707,0.8074,0.8194,0.9854,,0.9533,0.9637,0.6252,0.8421,,0.8176,,,,0.6955,,,,0.9396,,,0.9507,0.75,,0.5667,0.4041,,,0.9769,0.7587,0.7452,,,,0.5166,0.9019,0.9655,0.7374,,0.5761,0.9505
aa8e22e74a528ca8c34f022da26e6b6e,weka.classifiers.bayes.NaiveBayes-[],0.9594,0.8944,0.5808,0.6882,0.8595,0.6173,0.7168,0.6098,0.9966,0.8016,0.8358,0.7273,0.9585,0.5594,0.8773,0.9809,0.9775,0.6198,0.769,0.6667,0.7739,0.752,0.7463,0.9754,0.5802,0.9702,0.7292,0.538,0.4427,0.5,0.8317,0.9558,0.8519,0.8323,0.9483,0.8405,0.9933,0.8836,0.985,0.9123,0.641,0.8378,0.97,0.961,0.9885,0.975,0.974,0.9515,0.9417,0.888,0.9139,0.6957,0.9167,0.6944,0.8575,0.6667,0.4336,0.7952,0.8026,0.9199,0.7111,0.8894,0.9312,0.8133,0.9925,0.5298,0.9916,0.9011,0.6303,0.7998,0.5856,0.9406
e4703dbfb0fd5afe7abb4d354a9d37f0,weka.classifiers.bayes.BayesNet-[],,0.9984,0.6299,0.9131,0.9256,0.7168,0.7478,0.7073,1,0.7648,0.8343,0.7203,0.9714,0.6609,0.9051,0.985,0.9888,0.998,0.7962,0.75,0.9638,0.749,0.7833,0.9727,0.6543,0.9613,0.7462,0.5217,0.5363,0.7103,0.8383,0.9932,0.8259,0.8323,0.9825,0.8946,0.9867,0.9994,0.9994,0.8772,,0.8581,,,,0.9675,,,0.9471,0.902,,,0.9446,0.75,,0.6333,0.4513,,0.9104,0.9711,0.7175,0.9519,0.9531,,,0.9073,0.999,0.9011,0.6253,,0.6004,0.9307
caf621af10216ec1210297567df473e1,"weka.classifiers.bayes.BayesNet-['-Q', 'weka.classifiers.bayes.net.search.local.LAGDHillClimber', '-E', 'weka.classifiers.bayes.net.estimate.SimpleEstimator']",,,0.6775,0.9432,0.9256,,,0.7854,1,0.8016,,0.7483,0.9671,0.6609,0.9097,1,0.9888,0.9986,0.7826,0.8333,0.9696,0.726,,0.9781,0.6543,0.9583,,0.6182,,0.715,0.835,1,0.8111,0.8323,0.9942,0.9288,0.98,0.9991,,0.8596,,0.8378,,,,0.992,,,1,,,,0.9576,0.8056,,0.6778,0.3982,,0.9498,0.9764,0.7778,0.9904,0.9327,,,0.9205,0.999,0.9563,0.8303,,0.6024,
e4e8820d82a47483a35046e76b9a6e46,"weka.classifiers.bayes.BayesNet-['-Q', 'weka.classifiers.bayes.net.search.local.TabuSearch', '-E', 'weka.classifiers.bayes.net.estimate.SimpleEstimator']",,0.8363,0.6368,0.9232,0.9256,0.7102,0.7655,0.7854,1,0.744,0.8978,0.6993,0.9614,0.5768,0.9387,1,0.7753,0.4936,0.8016,0.8333,0.8536,0.752,0.7759,0.9754,0.6543,0.8214,0.8092,0.6114,0.5626,0.7103,0.8251,0.8707,0.8111,0.8516,0.9841,0.9117,0.9533,0.8905,0.645,0.8947,,0.8784,,,,0.6965,,,0.9989,0.9302,,,0.953,0.7222,,0.6778,0.4425,,0.9416,0.973,0.7651,0.7548,0.9414,,,0.4172,0.7704,0.9517,0.7747,,0.5755,0.9406
7d713a32ac158c02dd197544f660c29e,"weka.classifiers.bayes.BayesNet-['-Q', 'weka.classifiers.bayes.net.search.local.K2', '-E', 'weka.classifiers.bayes.net.estimate.SimpleEstimator']",,0.9999,0.679,0.9265,0.9256,,,0.8293,1,0.7984,0.9239,0.6783,0.9585,0.6609,0.8999,1,0.9888,0.9986,0.8179,0.75,0.9667,0.755,0.8056,0.9836,0.6543,0.9613,0.8174,0.6209,0.583,0.7243,0.8251,1,0.7963,0.8516,0.9907,0.9345,0.9733,0.9994,0.9994,0.8421,,0.8446,,,,0.9845,,,1,0.9439,,,0.9691,0.8056,,0.6444,0.4248,,0.9524,0.9764,0.7524,0.9904,0.9941,,,0.894,0.999,0.9517,0.7495,,0.6004,0.9505
a490a3293e6a1498639fb92fd29bd383,"weka.classifiers.bayes.BayesNet-['-Q', 'weka.classifiers.bayes.net.search.local.HillClimber', '-E', 'weka.classifiers.bayes.net.estimate.SimpleEstimator']",,,0.6761,0.9432,0.9256,,,0.7707,1,0.792,,0.7517,0.9657,0.6609,0.9097,1,0.9888,0.9986,0.7853,0.8333,0.9696,0.727,,0.9781,0.6543,0.9643,,0.6196,,0.715,0.835,1,0.8111,0.8323,0.9944,0.9259,0.98,0.9987,,0.8772,,0.8311,,,,0.991,,,1,,,,0.964,0.8056,,0.6889,0.4041,,0.955,0.9764,0.7778,0.9856,0.9927,,,0.9272,0.999,0.9563,0.7828,,0.6024,
0eac3706bc1b63d565a61bf3c559133e,"weka.classifiers.bayes.BayesNet-['-Q', 'weka.classifiers.bayes.net.search.local.LAGDHillClimber', '-E', 'weka.classifiers.bayes.net.estimate.BMAEstimator']",,,,,0.9256,,,,,,,,,,,,,,,,,,,,0.6543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8a17a80704a608727c99c4f5fcb08ef8,"weka.classifiers.rules.PART-['-C', 0.25, '-M', 4]",0.9338,0.9999,0.6445,0.9076,0.9256,0.6283,0.7611,0.6488,1,0.8064,0.9254,0.6748,0.9413,0.6754,0.9531,1,0.9888,0.9952,0.7717,0.875,0.9232,0.724,0.7352,0.9344,0.679,0.9583,0.8582,0.5883,0.6213,0.6168,0.802,0.9932,0.7926,0.8194,0.9947,0.9003,0.98,0.9994,0.9993,0.807,0.872,0.8378,0.9925,0.993,0.993,0.99,0.993,0.993,1,0.9891,0.9185,0.9191,0.9713,0.75,0.9631,0.6778,0.3835,0.8692,0.9558,0.982,0.7778,0.9952,0.9429,0.9996,0.9994,0.4437,0.999,0.9563,0.7404,0.7812,0.5654,0.8812
